503, 34123, 1, 145, 1890

523, 35447, 1, 155, 1974

547, 37097, 1, 164, 2072

557, 37747, 1, 169, 2114

563, 38167, 1, 172, 2140

577, 39103, 1, 178, 2198

587, 39779, 1, 183, 2240

593, 40193, 1, 185, 2264

607, 41141, 1, 192, 2324

613, 41549, 1, 195, 2348

617, 41849, 1, 197, 2366

647, 43867, 1, 210, 2492

653, 44263, 1, 213, 2516

673, 45631, 1, 222, 2602

677, 45953, 1, 224, 2618

683, 46301, 1, 227, 2644

727, 49297, 1, 249, 2830

743, 50383, 1, 256, 2898

757, 51341, 1, 263, 2958

773, 52433, 1, 270, 3026

787, 53381, 1, 277, 3086

797, 54049, 1, 282, 3130

857, 58111, 1, 312, 3388

863, 58537, 1, 315, 3414

877, 59617, 1, 321, 3476

887, 60149, 1, 326, 3518

907, 61507, 1, 336, 3604

937, 63541, 1, 351, 3734

947, 64231, 1, 357, 3778

953, 64627, 1, 359, 3804

967, 65587, 1, 367, 3866

977, 66293, 1, 372, 3910

983, 66683, 1, 375, 3936

1013, 68737, 1, 391, 4066

