467, 3911, 244, 122, 1302

479, 5689, 318, 122, 1399
479, 6089, 318, 122, 1411

491, 6287, 326, 126, 1453
491, 8627, 326, 120, 1509
491, 9277, 326, 119, 1521

499, 8243, 332, 125, 1525
499, 9029, 332, 122, 1541

503, 2879, 178, 130, 1346
503, 8663, 334, 125, 1546

509, 10939, 338, 123, 1607
509, 11087, 338, 122, 1610

521, 15271, 346, 122, 1708
521, 15359, 346, 122, 1709
521, 16001, 346, 121, 1717

523, 3331, 208, 139, 1428
523, 7151, 348, 136, 1572
523, 7159, 348, 136, 1572
523, 11003, 348, 128, 1653
523, 19853, 348, 118, 1764

541, 2297, 142, 133, 1404
541, 2437, 152, 137, 1415
541, 17789, 360, 127, 1803

557, 4759, 296, 155, 1592
557, 9323, 370, 145, 1727
557, 13339, 370, 138, 1799
557, 13963, 370, 137, 1808
557, 14827, 370, 136, 1820
557, 18719, 370, 132, 1867

563, 10627, 374, 145, 1772

569, 1579, 98, 125, 1399
569, 3929, 244, 157, 1587
569, 11489, 378, 145, 1807
569, 12781, 378, 144, 1829
569, 16193, 378, 139, 1877

571, 4201, 262, 159, 1606
571, 7177, 380, 156, 1717

577, 1861, 116, 134, 1454
577, 19081, 384, 139, 1938

587, 5233, 326, 167, 1698
587, 8263, 390, 160, 1794

593, 1381, 86, 122, 1430
593, 14423, 394, 151, 1932
593, 19697, 394, 145, 1998

599, 7001, 398, 168, 1795
599, 9551, 398, 161, 1862

601, 17257, 400, 150, 1997
601, 18701, 400, 149, 2015

607, 6317, 394, 173, 1796
607, 17747, 404, 152, 2022
607, 18749, 404, 151, 2035

613, 1459, 90, 128, 1490
613, 3319, 206, 167, 1672
613, 4363, 272, 175, 1733
613, 9157, 408, 168, 1896
613, 10529, 408, 165, 1927
613, 11867, 408, 163, 1954
613, 12109, 408, 162, 1958
613, 13799, 408, 160, 1987
613, 19469, 408, 153, 2063

617, 1511, 94, 132, 1508
617, 12829, 410, 163, 1984
617, 16007, 410, 158, 2033
617, 16073, 410, 158, 2034

619, 2297, 142, 153, 1606
619, 6907, 412, 177, 1852
619, 9397, 412, 170, 1921
619, 9679, 412, 169, 1927
619, 12203, 412, 164, 1979
619, 13933, 412, 162, 2009
619, 14173, 412, 161, 2013

631, 2081, 130, 151, 1615
631, 2693, 168, 163, 1673
631, 11287, 420, 171, 1999
631, 16481, 420, 163, 2085

641, 13691, 426, 171, 2075

643, 6247, 390, 189, 1901
643, 14737, 428, 170, 2099
643, 15797, 428, 169, 2116
643, 17189, 428, 167, 2135

647, 3559, 222, 180, 1781
647, 16573, 430, 170, 2140
647, 16883, 430, 169, 2144
647, 18461, 430, 167, 2165

653, 2311, 144, 161, 1696
653, 4621, 288, 189, 1859
653, 8419, 434, 187, 2000
653, 17477, 434, 171, 2172
653, 17627, 434, 171, 2174
653, 19163, 434, 169, 2194
653, 19507, 434, 168, 2198

659, 2137, 132, 158, 1693
659, 6781, 422, 195, 1967
659, 7481, 438, 192, 1991
659, 19571, 438, 171, 2219

661, 13327, 440, 180, 2135
661, 15907, 440, 176, 2177

673, 1493, 92, 139, 1642
673, 9413, 448, 193, 2089
673, 17123, 448, 179, 2234

677, 3251, 202, 184, 1842

683, 5623, 350, 204, 1993
683, 13313, 454, 189, 2205

691, 1499, 92, 142, 1687
691, 5471, 340, 206, 2009
691, 6449, 402, 208, 2051
691, 12281, 460, 194, 2211

701, 17921, 466, 190, 2339

709, 10337, 472, 206, 2224
709, 11923, 472, 202, 2261

719, 2087, 130, 169, 1841
719, 2351, 146, 176, 1872
719, 5153, 322, 215, 2075
719, 9133, 478, 213, 2224
719, 10531, 478, 210, 2260
719, 10739, 478, 209, 2266
719, 14831, 478, 201, 2349
719, 19079, 478, 196, 2414

727, 5827, 364, 221, 2130
727, 12241, 484, 210, 2325
727, 17317, 484, 201, 2416

739, 9829, 492, 220, 2305
739, 10859, 492, 217, 2332
739, 12713, 492, 213, 2374
739, 17183, 492, 206, 2454
739, 19429, 492, 203, 2486

743, 7541, 470, 228, 2247
743, 11251, 494, 218, 2353
743, 16451, 494, 209, 2455
743, 17959, 494, 207, 2479

751, 3067, 190, 200, 2027
751, 3823, 238, 213, 2087

757, 1193, 74, 137, 1786
757, 3727, 232, 214, 2096
757, 6869, 428, 235, 2264
757, 7879, 492, 233, 2300
757, 10979, 504, 225, 2392
757, 12973, 504, 221, 2436
757, 13789, 504, 219, 2454
757, 14737, 504, 217, 2472

761, 1619, 100, 158, 1879
761, 4091, 254, 219, 2133
761, 4591, 286, 225, 2165
761, 7883, 492, 235, 2313
761, 13829, 506, 221, 2467
761, 14107, 506, 220, 2473
761, 19001, 506, 213, 2555

769, 1433, 88, 150, 1864
769, 6599, 412, 239, 2288
769, 17729, 512, 218, 2562

773, 877, 54, 116, 1737
773, 2099, 130, 179, 1981
773, 8317, 514, 239, 2365
773, 9811, 514, 235, 2411
773, 13757, 514, 226, 2505

787, 4243, 264, 229, 2216

797, 1259, 78, 145, 1895

809, 1801, 112, 175, 2028
809, 6113, 382, 252, 2384
809, 14107, 538, 240, 2628

811, 8543, 532, 256, 2489
811, 10457, 540, 250, 2547
811, 11831, 540, 246, 2583
811, 14083, 540, 241, 2635

823, 4513, 282, 244, 2335
823, 8069, 504, 261, 2509
823, 11197, 548, 253, 2605

827, 7219, 450, 263, 2488
827, 9767, 550, 259, 2578
827, 13159, 550, 251, 2666
827, 19081, 550, 240, 2777

829, 1657, 102, 170, 2053
829, 12227, 552, 253, 2650
829, 13037, 552, 251, 2670
829, 14107, 552, 249, 2694

853, 9721, 568, 270, 2657
853, 12377, 568, 263, 2731
853, 15511, 568, 257, 2801

857, 5167, 322, 262, 2474
857, 13367, 570, 263, 2768
857, 14797, 570, 261, 2800

859, 12487, 572, 266, 2753
859, 17203, 572, 257, 2852

863, 1523, 94, 168, 2111
863, 4111, 256, 250, 2421
863, 8779, 548, 277, 2657

881, 3217, 200, 235, 2393
881, 7673, 478, 286, 2669
881, 15733, 586, 269, 2897

883, 8089, 504, 286, 2691
883, 14639, 588, 272, 2881

887, 13007, 590, 277, 2856

907, 7727, 482, 295, 2750
907, 8807, 550, 296, 2793
907, 12109, 604, 289, 2897
907, 15467, 604, 281, 2977
907, 17389, 604, 277, 3015

919, 11827, 612, 294, 2928
919, 13933, 612, 289, 2982
919, 14771, 612, 287, 3002

929, 12953, 618, 296, 2990
929, 14011, 618, 293, 3016
929, 18229, 618, 286, 3104

937, 1823, 112, 193, 2353
937, 12401, 624, 301, 3001

941, 2521, 156, 225, 2473
941, 10781, 626, 308, 2966

947, 3917, 244, 268, 2639

953, 6343, 396, 305, 2821
953, 8237, 514, 315, 2911
953, 16693, 634, 299, 3154

967, 8243, 514, 321, 2954
