467, 3911, 244, 122, 1302

479, 5689, 318, 122, 1399

491, 6287, 326, 126, 1453

499, 8243, 332, 125, 1525

503, 2879, 178, 130, 1346

509, 10939, 338, 123, 1607

521, 15271, 346, 122, 1708

523, 3331, 208, 139, 1428

541, 2437, 152, 137, 1415

557, 4759, 296, 155, 1592

563, 10627, 374, 145, 1772

569, 3929, 244, 157, 1587

571, 4201, 262, 159, 1606

577, 1861, 116, 134, 1454

587, 5233, 326, 167, 1698

593, 1381, 86, 122, 1430

599, 7001, 398, 168, 1795

601, 17257, 400, 150, 1997

607, 6317, 394, 173, 1796

613, 4363, 272, 175, 1733

617, 1511, 94, 132, 1508

619, 6907, 412, 177, 1852

631, 2693, 168, 163, 1673

641, 13691, 426, 171, 2075

643, 6247, 390, 189, 1901

647, 3559, 222, 180, 1781

653, 4621, 288, 189, 1859

659, 6781, 422, 195, 1967

661, 13327, 440, 180, 2135

673, 9413, 448, 193, 2089

677, 3251, 202, 184, 1842

683, 5623, 350, 204, 1993

691, 5471, 340, 206, 2009

701, 17921, 466, 190, 2339

709, 10337, 472, 206, 2224

719, 5153, 322, 215, 2075

727, 5827, 364, 221, 2130

739, 9829, 492, 220, 2305

743, 7541, 470, 228, 2247

751, 3823, 238, 213, 2087

757, 6869, 428, 235, 2264

761, 4591, 286, 225, 2165

769, 6599, 412, 239, 2288

773, 8317, 514, 239, 2365

787, 4243, 264, 229, 2216

797, 1259, 78, 145, 1895

809, 6113, 382, 252, 2384

811, 8543, 532, 256, 2489

823, 4513, 282, 244, 2335

827, 7219, 450, 263, 2488

829, 12227, 552, 253, 2650

853, 9721, 568, 270, 2657

857, 5167, 322, 262, 2474

859, 12487, 572, 266, 2753

863, 8779, 548, 277, 2657

881, 7673, 478, 286, 2669

883, 8089, 504, 286, 2691

887, 13007, 590, 277, 2856

907, 7727, 482, 295, 2750

919, 11827, 612, 294, 2928

929, 12953, 618, 296, 2990

937, 12401, 624, 301, 3001

941, 10781, 626, 308, 2966

947, 3917, 244, 268, 2639

953, 8237, 514, 315, 2911

967, 8243, 514, 321, 2954

