449, 5077, 1, 99, 1380

461, 5231, 1, 102, 1422

463, 5297, 1, 103, 1430

487, 5507, 1, 109, 1510

509, 5783, 1, 116, 1588

521, 5903, 1, 119, 1630

557, 6329, 1, 129, 1756

569, 6427, 1, 132, 1798

571, 6449, 1, 133, 1804

593, 6701, 1, 139, 1882

607, 6857, 1, 142, 1932

617, 6971, 1, 145, 1968

631, 7187, 1, 149, 2018

641, 7243, 1, 152, 2052

653, 7393, 1, 155, 2096

677, 7649, 1, 162, 2182

691, 7841, 1, 166, 2232

701, 7933, 1, 168, 2268

739, 8369, 1, 179, 2406

751, 8501, 1, 183, 2448

773, 8761, 1, 188, 2528

797, 9029, 1, 195, 2616

809, 9157, 1, 199, 2660

811, 9203, 1, 199, 2668

821, 9281, 1, 202, 2702

823, 9371, 1, 202, 2712

857, 9689, 1, 212, 2834

859, 9787, 1, 213, 2844

881, 10007, 1, 219, 2924

907, 10259, 1, 226, 3020

929, 10501, 1, 232, 3100

941, 10639, 1, 236, 3144

