509, 28753, 143, 941

523, 29581, 148, 970

541, 30553, 156, 1006

547, 30971, 159, 1019

557, 31511, 163, 1039

563, 31847, 165, 1051

587, 33179, 175, 1101

613, 34667, 187, 1154

619, 34963, 189, 1166

653, 36887, 204, 1237

659, 37223, 207, 1249

661, 37339, 208, 1254

677, 38261, 215, 1287

701, 39607, 225, 1337

709, 40063, 229, 1354

757, 42797, 250, 1454

773, 43721, 257, 1488

787, 44519, 264, 1518

797, 45061, 269, 1539

821, 46399, 280, 1589

827, 46727, 282, 1602

829, 46901, 283, 1607

853, 48247, 294, 1657

859, 48593, 297, 1670

877, 49597, 306, 1708

883, 49937, 308, 1721

907, 51257, 320, 1772

941, 53189, 336, 1845

947, 53551, 338, 1858

1019, 57587, 373, 2013

