467, 3911, 244, 87, 1302

479, 5689, 318, 88, 1399

491, 6287, 326, 90, 1453

499, 8243, 332, 89, 1525

503, 2879, 178, 95, 1346

509, 10939, 338, 88, 1607

521, 15271, 346, 86, 1708

523, 3331, 208, 99, 1428

541, 2297, 142, 102, 1404

557, 4759, 296, 107, 1592

563, 10627, 374, 100, 1772

569, 1579, 98, 107, 1399

571, 4201, 262, 110, 1606

577, 1861, 116, 110, 1454

587, 5233, 326, 113, 1698

593, 1381, 86, 112, 1430

599, 7001, 398, 115, 1795

601, 17257, 400, 103, 1997

607, 6317, 394, 118, 1796

613, 1459, 90, 116, 1490

617, 1511, 94, 118, 1508

619, 2297, 142, 119, 1606

631, 2081, 130, 121, 1615

641, 13691, 426, 115, 2075

643, 6247, 390, 126, 1901

647, 3559, 222, 126, 1781

653, 2311, 144, 126, 1696

659, 2137, 132, 127, 1693

661, 13327, 440, 120, 2135

673, 1493, 92, 129, 1642

677, 3251, 202, 132, 1842

683, 5623, 350, 134, 1993

691, 1499, 92, 133, 1687

701, 17921, 466, 124, 2339

709, 10337, 472, 135, 2224

719, 2087, 130, 140, 1841

727, 5827, 364, 144, 2130

739, 9829, 492, 143, 2305

743, 7541, 470, 147, 2247

751, 3067, 190, 147, 2027

757, 1193, 74, 146, 1786

761, 1619, 100, 148, 1879

769, 1433, 88, 149, 1864

773, 877, 54, 147, 1737

787, 4243, 264, 156, 2216

797, 1259, 78, 154, 1895

809, 1801, 112, 158, 2028

811, 8543, 532, 163, 2489

823, 4513, 282, 164, 2335

827, 7219, 450, 166, 2488

829, 1657, 102, 162, 2053

853, 9721, 568, 171, 2657

857, 5167, 322, 172, 2474

859, 12487, 572, 167, 2753

863, 1523, 94, 169, 2111

881, 3217, 200, 176, 2393

883, 8089, 504, 178, 2691

887, 13007, 590, 173, 2856

907, 7727, 482, 184, 2750

919, 11827, 612, 183, 2928

929, 12953, 618, 183, 2990

937, 1823, 112, 185, 2353

941, 2521, 156, 188, 2473

947, 3917, 244, 190, 2639

953, 6343, 396, 193, 2821

967, 8243, 514, 197, 2954

