449, 5077, 1, 89, 1380

461, 5231, 1, 92, 1422

463, 5297, 1, 92, 1430

487, 5507, 1, 98, 1510

509, 5783, 1, 104, 1588

521, 5903, 1, 106, 1630

557, 6329, 1, 115, 1756

569, 6427, 1, 118, 1798

571, 6449, 1, 119, 1804

593, 6701, 1, 124, 1882

607, 6857, 1, 128, 1932

617, 6971, 1, 130, 1968

631, 7187, 1, 134, 2018

641, 7243, 1, 136, 2052

653, 7393, 1, 139, 2096

677, 7649, 1, 145, 2182

691, 7841, 1, 149, 2232

701, 7933, 1, 151, 2268

739, 8369, 1, 161, 2406

751, 8501, 1, 164, 2448

773, 8761, 1, 169, 2528

797, 9029, 1, 175, 2616

809, 9157, 1, 178, 2660

811, 9203, 1, 179, 2668

821, 9281, 1, 181, 2702

823, 9371, 1, 182, 2712

857, 9689, 1, 191, 2834

859, 9787, 1, 191, 2844

881, 10007, 1, 197, 2924

907, 10259, 1, 203, 3020

929, 10501, 1, 209, 3100

941, 10639, 1, 212, 3144

