449, 5077, 1, 83, 1380

461, 5231, 1, 85, 1422

463, 5297, 1, 85, 1430

487, 5507, 1, 91, 1510

509, 5783, 1, 95, 1588

521, 5903, 1, 98, 1630

557, 6329, 1, 106, 1756

569, 6427, 1, 109, 1798

571, 6449, 1, 109, 1804

593, 6701, 1, 114, 1882

607, 6857, 1, 117, 1932

617, 6971, 1, 119, 1968

631, 7187, 1, 122, 2018

641, 7243, 1, 124, 2052

653, 7393, 1, 127, 2096

677, 7649, 1, 132, 2182

691, 7841, 1, 135, 2232

701, 7933, 1, 137, 2268

739, 8369, 1, 145, 2406

751, 8501, 1, 148, 2448

773, 8761, 1, 153, 2528

797, 9029, 1, 158, 2616

809, 9157, 1, 161, 2660

811, 9203, 1, 161, 2668

821, 9281, 1, 164, 2702

823, 9371, 1, 164, 2712

857, 9689, 1, 171, 2834

859, 9787, 1, 172, 2844

881, 10007, 1, 177, 2924

907, 10259, 1, 183, 3020

929, 10501, 1, 188, 3100

941, 10639, 1, 190, 3144

